-------------------1	-------------------
dellus	dellus
deposesse	deposesse
deram	deram
deria	deria
deroso	deroso
desembro	desembro
destri-Jbuições	destri-jbuicoes
destribuidas	destribuidas
determino-vos	determino-vos
deUcto	deucto
devendo-se	devendo-se
devris	devris
diariamente	diariamente
differcntes	differcntes
direi(o	direio
dirigida	dirigida
diser	diser
dispõe	dispoe
diversas	diversas
dividtram-se	dividtram-se
dizcr-Iho	dizcr-iho
dizel-rfao	dizel-rfao
dizer-lhe	dizer-lhe
*d’3lina	dlina
doclara	doclara
docunier	docunier
doente	doente
drpoz	drpoz
duas	duas
duns	duns
duplicada	duplicada
d’uraa	duraa
duronte	duronte
ealqia	ealqia
eatranlfos	eatranlfos
e’c>r-po	ecr-po
edicções	ediccoes
editoriaes	editoriaes
èèrfo	eerfo
efepois	efepois
effectual-o	effectual-o
effel-fonnulador	effel-fonnulador
efflcadia	efflcadia
eflectuada	eflectuada
efrito	efrito
efti-cazei	efti-cazei
efTsctuada	eftsctuada
e^galho	egalho
ehtja^cousa	ehtjacousa
ellB	ellb
eloquente	eloquente
empobrecida	empobrecida
encia	encia
enconjrado	enconjrado
eníor-c»8o	enior-co
en)or	enor
enorme	enorme
entravão	entravao
epocha	epocha
epurada‘e	epuradae
equili-brando-se	equili-brando-se
equiparam-se	equiparam-se
erde	erde
erradamente	erradamente
es-crevcr-lhe	es-crevcr-lhe
esclarecida	esclarecida
es>encial	esencial
esjivera	esjivera
eslejão	eslejao
eslomachico	eslomachico
esmnc&es	esmnces
esperançai	esperancai
esphacelada	esphacelada
espúrio	espurio
este-mngo	este-mngo
estomacaes	estomacaes
estomogos	estomogos
estorna-	estorna-
etc	etc
eterno	eterno
euphemis-mos	euphemis-mos
excu-sart»m-*se	excu-sartm-se
exemplo—Gallilco	exemplogallilco
expressiva	expressiva
extlnguir-se*	extlnguir-se
extrahido	extrahido
faih	faih
failánd	failand
fara	fara
fará	fara
fatal	fatal
fazer-lhe	fazer-lhe
fcilhur	fcilhur
feffer-9	feffer-
feitamente	feitamente
fficio	fficio
fido	fido
findo	findo
fiode	fiode
fiqui	fiqui
fixado	fixado
fleação	fleacao
flrmar	flrmar
forem	forem
form	form
fran-cez—com	fran-cezcom
fraterrudíiJe	fraterrudiije
ftesta	ftesta
fui3d	fuid
funcçôes	funccoes
fuuccionar	fuuccionar
fuzer	fuzer
gativas	gativas
geate	geate
glo-■ou	glo-ou
goáor	goaor
grati-|	grati-
gratifiraçfto	gratifiracfto
gratitlcaçao	gratitlcacao
gravíssima	gravissima
gricultor	gricultor
gunta	gunta
haverá	havera
hbra	hbra
henderem	henderem
^hnaílKçíio	hnailkciio
hnnrà	hnnra
ho-micidrô	ho-micidro
hodierna	hodierna
homi-cidio/más	homi-cidiomas
horrivelmente	horrivelmente
houve	houve
humanidaae	humanidaae
i-to	i-to
ic-se	ic-se
iciencia	iciencia
icío	icio
içlo	iclo
idadâos	idadaos
idea	idea
ídjunto	idjunto
ignara	ignara
igualmente	igualmente
iipõí	iipoi
ijgenc	ijgenc
ilíou	iliou
illus-tre	illus-tre
im-pecidq	im-pecidq
imlmonto	imlmonto
immediata	immediata
immediats	immediats
immensidada	immensidada
imparcial	imparcial
importante	importante
improòquamente	improoquamente
in-•cdeitavel	in-cdeitavel
in-possivel	in-possivel
inacíitavel	inaciitavel
incom-	incom-
incommodado	incommodado
incomnjoút»	incomnjout
indepe	indepe
indicativo	indicativo
inesm	inesm
inevitável	inevitavel
infeliz	infeliz
ingleza	ingleza
ínll	inll
innoa	innoa
inoeo	inoeo
inquerit)	inquerit
insinuadas	insinuadas
insut^is	insutis
intc	intc
intcreSsea	intcressea
inteiramente	inteiramente
interessea	interessea
intestinal	intestinal
intransi-gente	intransi-gente
inven-	inven-
ipqiicnto	ipqiicnto
iravilhosc	iravilhosc
istumacacs	istumacacs
itnlcza	itnlcza
itrento	itrento
iucomncodos	iucomncodos
iuui	iuui
iüuIv	iuuiv
ividadc-	ividadc-
(iyspepsias	iyspepsias
izad	izad
jaotidade	jaotidade
jaxiiro	jaxiiro
jgnto	jgnto
jicas	jicas
jiufiçu	jiuficu
jomados	jomados
j$ooo	jooo
jpbre	jpbre
jptçlligentg^que	jptclligentgque
jr--	jr--
jtblí-ça	jtbli-ca
judicial	judicial
julgava-se	julgava-se
junsdiçção	junsdiccao
jus-	jus-
«$lBronehí-t«i	lbronehi-ti
ldict<«	ldict
legae	legae
lei-	lei-
lhanezn	lhanezn
lhe-souraria	lhe-souraria
lhesouraria	lhesouraria
libejdadv	libejdadv
licenciadas	licenciadas
licyr	licyr
liistilu	liistilu
littera-rio	littera-rio
livram	livram
lllm	lllm
lllu-tre	lllu-tre
locaes	locaes
lOOSOUO	loosouo
lsrmou	lsrmou
l«tn-brei-mc	ltn-brei-mc
manifestava-se	manifestava-se
mar-radb	mar-radb
maravilhosas	maravilhosas
matar-se	matar-se
me-u-	me-u-
medie	medie
medíétime	medietime
mesflo	mesflo
mi-inha	mi-inha
mijitar	mijitar
milagroso	milagroso
minh-a	minh-a
mmllA	mmlla
mnci/io	mnciio
mngistr	mngistr
mnitoa	mnitoa
mo-lestrio	mo-lestrio
moiea	moiea
moleatíos	moleatios
monarchista	monarchista
morie	morie
moro-curiim	moro-curiim
m«Qda	mqda
mtrmucv	mtrmucv
muitb	muitb
muitissimó	muitissimo
muitíssimo	muitissimo
mysteriosos	mysteriosos
n<»-dicamentoi	n-dicamentoi
naçlo	naclo
não—existência	naoexistencia
nâo*seriào	naoseriao
nasce	nasce
nâ>’se	nase
na(uzeiw’	nauzeiw
nã^v^le	navle
nccurrenlc	nccurrenlc
ncon-	ncon-
nefico	nefico
neita	neita
néjii	nejii
nemhum	nemhum
nfco	nfco
nfto	nfto
niliano	niliano
nlguma	nlguma
noém	noem
noiavol	noiavol
nono	nono
notável	notavel
npplicar	npplicar
nrics	nrics
nsuita	nsuita
nuense	nuense
nvnorarme	nvnorarme
nxecuçío	nxecucio
o-per^çõ^s	o-percos
obngado	obngado
|obti	obti
obtido	obtido
occa-sião	occa-siao
ocesso	ocesso
oDialmláaée	odialmlaaee
of-rteio	of-rteio
oferta-do	oferta-do
offereceu-me	offereceu-me
ofTerece]	ofterece
o/idc	oidc
oíficina	oificina
oificio	oificio
onje	onje
op-pnrelho	op-pnrelho
opin	opin
opulentissima	opulentissima
oridade	oridade
osta	osta
o\tarinheiro	otarinheiro
ousados	ousados
outre	outre
ouvío	ouvio
p-rmittião	p-rmittiao
pa-dendo	pa-dendo
pagarão	pagarao
paixães	paixaes
pari	pari
pasmando	pasmando
pcifl	pcifl
pederaso	pederaso
pederosas	pederosas
pefo	pefo
penhum	penhum
penosos	penosos
perfeitamente	perfeitamente
permanoncla	permanoncla
•peroao	peroao
pes-sôa	pes-soa
pezo	pezo
pharmaceuticu	pharmaceuticu
pi	pi
p&itiífos	pitiifos
plena	plena
pleno	pleno
plMOPOS	plmopos
pnr-tic^r	pnr-ticr
poderem	poderem
podería	poderia
poderosa	poderosa
poderoso	poderoso
podia	podia
põem	poem
pos-o	pos-o
posso	posso
pouc	pouc
povu	povu
pparelho	pparelho
«ppruvAçflo	ppruvacflo
prcci-1	prcci-
pre-	pre-
premlo	premlo
prendei*a	prendeia
prender	prender
prenderem	prenderem
prepotentes	prepotentes
prescrtifand^	prescrtifand
presenteo	presenteo
pricipalmtute	pricipalmtute
primeiraiuenle	primeiraiuenle
principelmente	principelmente
prirtcipe	prirtcipe
proce	proce
proCodimen-tocriminal	procodimen-tocriminal
prodigiosa	prodigiosa
prodigioso	prodigioso
proitarf	proitarf
pro^Jerem	projerem
promoioria	promoioria
prompta	prompta
prostrar-se	prostrar-se
provadas	provadas
provincial	provincial
provincta	provincta
psra	psra
psrte	psrte
pstomacues	pstomacues
ptlc	ptlc
publicados	publicados
pura	pura
purga-tivá$>	purga-tiva
purga-tiyns	purga-tiyns
purgativas	purgativas
qieema-tal-ost	qieema-tal-ost
qonsta	qonsta
qtfe	qtfe
qualiilpaçio	qualiilpacio
qualqeur	qualqeur
quand	quand
quasi	quasi
queglão	queglao
quererá	querera
querr	querr
quisêramos	quiseramos
qunntj	qunntj
quun-toyos	quun-toyos
raciojiiiio	raciojiiiio
radicalrrente	radicalrrente
radiculmente	radiculmente
raesm	raesm
rasão	rasao
rasoavel	rasoavel
ra^un	raun
rccebêra	rccebera
rcconhccimcnto	rcconhccimcnto
rcluctancia	rcluctancia
re-mottido	re-mottido
re-ponsavel	re-ponsavel
realébolecimeoto	realebolecimeoto
reaolvi	reaolvi
rebelde	rebelde
recomu	recomu
reconhecida	reconhecida
recorreir	recorreir
recusar-me	recusar-me
reder	reder
referidas	referidas
refindo	refindo
relatoru)	relatoru
requeridas	requeridas
res-	res-
resolve	resolve
resolví	resolvi
respecjvos/x/íwj	respecjvosxiwj
respectivos	respectivos
respei-Ct	respei-ct
respiratório	respiratorio
restabelecida	restabelecida
resteas	resteas
restinho	restinho
resultndo	resultndo
rêtiecte	retiecte
reunidos	reunidos
riãilicção	riailiccao
rígido	rigido
rigorosíssimo	rigorosissimo
robusto	robusto
rospoid^á	rospoida
«rpilulas	rpilulas
rrfimuiençfio	rrfimuiencfio
rtrmar	rtrmar
rude	rude
sabe	sabe
sai-bão	sai-bao
salu-bre	salu-bre
saspeitas	saspeitas
satis-fuctorio	satis-fuctorio
sc-enêia	sc-eneia
scena	scena
scienci»	scienci
scindiram-se	scindiram-se
scomo	scomo
scrios	scrios
scrt>	scrt
selbar	selbar
sendo-Iho	sendo-iho
sendo-lhe	sendo-lhe
septenato	septenato
serl	serl
serpre	serpre
servisse	servisse
sfffpcil	sfffpcil
sido	sido
sígredo	sigredo
sinccro	sinccro
sinceras	sinceras
sinceros	sinceros
siquer	siquer
so-menu-	so-menu-
sobic	sobic
»sõcs	socs
sóffrç	soffrc
sôffrenJo	soffrenjo
sofrtr	sofrtr
soiTta	soitta
solibtudu	solibtudu
somos	somos
•stomacaes	stomacaes
sua’cogitação	suacogitacao
suavisasse-Ihe	suavisasse-ihe
subscrevo-	subscrevo-
*su«cidou-se	sucidou-se
suicidar-se	suicidar-se
suppoodo	suppoodo
suppra	suppra
tabclecido	tabclecido
tadoal	tadoal
tam-i	tam-i
tario	tario
tçndo	tcndo
tcsiemunhu	tcsiemunhu
tdra	tdra
teem	teem
teis	teis
tel-o	tel-o
telegr	telegr
tem-io	tem-io
ten-tavi	ten-tavi
tenha	tenha
tenho	tenho
teohaes	teohaes
terào	terao
terço	terco
tereis	tereis
terem	terem
termoa	termoa
testemu-nta	testemu-nta
tevô	tevo
tfto	tfto
tima	tima
tintos	tintos
tive	tive
tivera	tivera
tivesse	tivesse
tizar	tizar
tlvuda	tlvuda
tm-bèbe	tm-bebe
tol-i	tol-i
tomacaei	tomacaei
tornnu-so	tornnu-so
tragão	tragao
transpor-1	transpor-
transportando-vòs	transportando-vos
transportar-se	transportar-se
trazem	trazem
trimes-treVTís	trimes-trevtis
triumphos	triumphos
trlguom	trlguom
u-soóie	u-sooie
uftirmoú	uftirmou
uiiíis	uiiiis
uioa	uioa
ul-tenor	ul-tenor
ultrages	ultrages
unti-ca-tharracR	unti-ca-tharracr
uuica	uuica
uzar	uzar
uzndos	uzndos
valcria	valcria
vale—não	valenao
valería	valeria
vcntrl	vcntrl
venho	venho
verdad	verdad
veremos	veremos
vidindo-se	vidindo-se
vimos	vimos
vinte	vinte
voadas	voadas
vulgarisada	vulgarisada
wfôra	wfora
wuégué-	wuegue-
