abraços	abraco
Consideravelmente	Consideravelmente
constar	constar
constatando	constatar
Constitui-	Constitui-
Constituição	Constituicao
consulta	consulta
continuando	continuar
continuarem	continuar
contos	conto
convicção	conviccao
convim	convir
convier	convir
cor	cor
cora	corar
coro	coro
côrôa	coroa
coronel	coronel
Coronel	Coronel
CORONEL	Coronel
corpos	corpo
corpo	corpo
Correia	Correia
corrente	corrente
corre	correr
COSTA	Costa
Costa	Costa
Costa—Pilulas	Costapilulas
CostaVenho	Costavenho
Cottn	Cottn
Craa	Craa
Creado	Creado
Creadô	Creado
credito	credito
crescente	crescente
Criado	Criado
crimes	crime
crime	crime
Criminal	Criminal
criminai)	criminar
criminosos	criminoso
Criminoso	Criminoso
criminoso	criminoso
critério	criterio
Cruto	Cruto
cruz	cruz
Csla	Csla
cuidai*	cuidar
culpa	culpa
culpado	culpar
cultivo	cultivo
Cumpre	Cumpre
cumprimento	cumprimento
cumpre	cumprir
Cunha	Cunha
CUNHA	Cunha
Curado-	Curado-
curado	curar
cura*	curar
curiosidade	curiosidade
Custa	Custa
cúste	custar
dado	dado
Dara‘0	Dara
data	data
Dcponho	Dcponho
declaração	declaracao
declarar	declarar
decline	declinar
deixado	deixar
deixasse	deixar
deixava	deixar
deixar	deixar
Delegado	Delegado
deliberação	deliberacao
/delicio	deliciar
delicio	deliciar
delicto	delito
‘denota	denotar
denuncia	denuncia
Deoda-	Deoda-
Deodalo	Deodalo
depoimentos	depoimento
desarranjos	desarranjo
descoberta	descoberta
Desembargador	Desembargador
desembargador	desembargador
desempenho	desempenho
desespero	desespero
despencar	despencar
Dessi	Dessi
desvario	desvario
detrimento	detrimento
Deus	Deus
DeÜuxos	Deuuxos
devendo	dever
devem	dever
devia	dever
dever	dever
deveres	dever
deverá	dever
devera	dever
deveis	dever
Devo	Devo
devolucção	devolucao
dia	dia
dicar	dicar
diligencias	diligencia
diminuição	diminuicao
dinheiro	dinheiro
direito	direito
discado	discar
dyspeptia	dispepsia
dyspepsia	dispepsia
dizer	dizer
disse	dizer
digo	dizer
Dizer-se	Dizer-Se
Domcado	Domcado
dono	dono
dores	dor
dOres	dor
DORES	Dores
Dôres	Dores
dorme	dormir
Dumas	Dumas
duvidas	duvida
duvidando	duvidar
Dyspepsias	Dyspepsias
DYSPEPSIaS	Dyspepsias
economico	economico
EDITORES	Editores
EDUARDO	Eduardo
efficaz	eficaz
Efoy	Efoy
Eil-a	Eil-A
EÍrnilian	Eirnilian
(eleição)	eleicao
elemento	elemento
elementos	elemento
elfo	elfo
ELOY	Eloy
Eloy	Eloy
Emado	Emado
emmagrecímento	emagrecimento
Emdjano	Emdjano
Emi-liatio	Emi-Liatio
Emi-lihdorhandar	Emi-Lihdorhandar
Emiliano	Emiliano
Emiltano	Emiltano
empenho	empenho
empregado	empregado
empregados	empregado
empregar	empregar
emprego	emprego
Emtlia-	Emtlia-
encarecer	encarecer
encontrado	encontrar
encontrasse	encontrar
encontrei	encontrar
encontraram	encontrar
encontro	encontro
enfermidade	enfermidade
enforcado	enforcar
entender	entender
entregará	entregar
envenenado	envenenar
enxerga	enxerga
era	era
Eraneúco	Eraneuco
escanchado	escanchar
escolhido	escolher
esforços	esforco
espaço	espaco
esperamos	esperar
espirito	espirito
esposa	esposa
estabelecer	estabelecer
Estado	Estado
Estado’	Estado
estiver	estar
estava	estar
estou	estar
estima	estima
Estomacaes	Estomacaes
ESTOMACAES	Estomacaes
estomago	estomago
ESTOMAOÕ	Estomaoo
Estorna-caes	Estorna-Caes
evidencia	evidencia
exame	exame
exacto	exato
excellente	excelente
execução	execucao
executarem	executar
exercicio	exercicio
exercício	exercicio
Exercit	Exercit
exigido	exigir
exima	eximir
existência	existencia
experimentava	experimentar
experimentar	experimentar
expressões	expressao
extrema	extremar
ExZè-só	Exze-So
faculdade	faculdade
Facundo—66	Facundo
fado	fado
fallar	falar
fallava	falar
falta	falta
família	familia
pharmaceutico	farmaceutico
facto	fato
Fazenda	Fazenda
fazenda	fazenda
fazer	fazer
fazei	fazer
fizesse	fazer
fé	fe
Federal	Federal
feira	feira
Feliçio	Felicio
Felizardo	Felizardo
FERNANDES	Fernandes
Ferreira	Ferreira
FERREIRA	Ferreira
Ferro	Ferro
FERRO	Ferro
Fhar-maceutico	Fhar-Maceutico
fiara	fiar
fiar	fiar
ficarmos	ficar
ficou	ficar
ficaria	ficar
filhado	filhar
filho	filho
•filho	filho
fins	fim
fim	fim
firma	firma
fluçtuava	flutuar
folgo	folgar
força	forca
forma	forma
formas	forma
formação	formacao
Formosa	Formosa
formula	formula
forte	forte
fosse	fossar
fóssil	fossil
França	Franca
Francisco	Francisco
fraternidade	fraternidade
Fstadoai	Fstadoai
fundo	fundar
Fvrtulezu	Fvrtulezu
Gastrite	Gastrite
genero	genero
gente	gente
governo	governo
graças	graca
Graciàs	Gracias
grão	grao
gratidão	gratidao
gratificação	gratificacao
Gratificação	Gratificacao
gratificações	gratificacao
gravai»	gravar
gravidade	gravidade
gregos	grego
Guarda	Guarda
Gué-	Gue-
Guégué	Guegue
Hade	Hade
hesitação	hesitacao
hesito	hesitar
Hlolas	Hlolas
homens	homem
Homens	Homens
homicídio	homicidio
homicídio*^	homicidio
humanidade	humanidade
Huviu	Huviu
Hygicoa	Hygicoa
Hygine	Hygine
Hygiuoo	Hygiuoo
Içgál	Icgal
»\Ijus	Ijus
ILLm	Illm
«Iludidas	Iludidas
Império	Imperio
importaria	importar
impossibilidade	impossibilidade
imprensa	imprensa
incommodos	incomodos
indicio	indicio
indicio»	indicio
indivíduo	individuo
indivíduos	individuo
infortúnio	infortunio
inicial	inicial
inquérito	inquerito
Inspecloria	Inspecloria
Inspfctor-	Inspfctor-
Inspu-clorh	Inspu-Clorh
instauração	instauracao
instaurado	instaurar
Instituto	Instituto
Int-trucçôei	Int-Truccoei
intelligencia	inteligencia
intelligente	inteligente
intenteis	intentar
intento	intento
interesses	interesse
intima	intimar
Intransigente	Intransigente
intuito	intuito
Inulitufo	Inulitufo
INVENTADAS	Inventadas
Ipudo	Ipudo
ires	irar
isenção	isencao
Janebo	Janebo
janeiro	janeiro
Janeiro)	Janeiro
Janeiro	Janeiro
Jcsé	Jcse
Jkvolvem	Jkvolvem
JNão	Jnao
Joaé	Joae
João	Joao
Joaquiiu	Joaquiiu
Joaquim	Joaquim
JojZ	Jojz
Jo‘pcln	Jopcln
JORNAL	Jornal
jornal	jornal
JOSÉ	Jose
José	Jose
José)	Jose
Jubó	Jubo
juizes	juiz
Juiz	Juiz
julgar	julgar
Julho	Julho
Junho	Junho
júnho	junho
junho	junho
Jusé	Juse
Justiça	Justica
justiça	justica
justo	justo
Kecommendo	Kecommendo
Kmiliano	Kmiliano
laço	laco
lado	lado
lambem	lambar
lando	lando
lato	latir
laudo	laudo
Layão	Layao
lei	lei
Lei	Lei
lenho	lenho
levasse	levar
LIMA	Lima
Lima	Lima
linha	linha
locução	locucao
lógica	logica
louco	louco
Lucros	Lucros
luta	luta
luz	luz
Machado	Machado
Major	Major
manda	manda
mandadas	mandada
Mandos	Mandos
manhã	manha
Manoel	Manoel
mão	mao
mãos	mao
mar	mar
março	marco
marinheiro	marinheiro
Martin	Martin
Martiniano	Martiniano
Martins	Martins
massas	massa
mata	mata
Matriculado)	Matriculado
máxima	maxima
(Mcstrc-Geranl	Mcstrc-Geranl
medicamentos	medicamento
medicamento	medicamento
medico	medico
medida	medida
melhores	melhor
melhora	melhora
melhorar	melhorar
Mello	Mello
membro	membro
menção	mencao
mentido	mentir
mentira	mentira
mentiroso	mentiroso
mezes	mes
metade	metade
militarismo	militarismo
modos	modo
modo	modo
moléstias	molestia
MOLÉSTIAS	Molestias
momento	momento
Monte	Monte
moral	moral
morrer	morrer
morte	morte
morto	morto
mossa	mossa
mostre	mostrar
movimentos	movimento
Mqjece	Mqjece
mulher	mulher
multidão	multidao
multidões	multidao
mutilado	mutilado
Na-í	Na-I
nação	nacao
(Negociante	Negociante
Negociante	Negociante
nomes	nome
norte	norte
Novembro	Novembro
novidade	novidade
Novjmbro	Novjmbro
nume	nume
numero	numero
Nuvcmbro	Nuvcmbro
obriga	obriga
Obrigado	Obrigado
obrigado	obrigar
Obrm	Obrm
OFFÍCIAES	Officiaes
olhos	olho
Oliveira	Oliveira
OOOSOoO	Ooosooo
opinando	opinar
opinião	opiniao
Opiniões	Opinioes
Ordehado	Ordehado
ordem	ordem
Ordenado	Ordenado
Orfando	Orfando
originaes	originais
Osbnotivos	Osbnotivos
ouvido	ouvido
Pacato	Pacato
Pacatuba	Pacatuba
Pacoty	Pacoty
padecer	padecer
pagam	pagar
pagar	pagar
pai	pai
paióis	paiol
paiz	pais
Palacio	Palacio
Palacío	Palacio
palavras	palavra
pallidez	palidez
parabéns	parabens
parado	parar
parecer	parecer
parece	parecer
partidos	partido
PARTIDOS-	Partidos-
passou	passar
passasse	passar
passar	passar
passei	passar
passando	passar
passo	passo
patrulhas	patrulha
Pduardo	Pduardo
peça	peca
PEÇAS	Pecas
peço	peco
pedidos	pedido
pedindo	pedir
Pedro	Pedro
Pelitardo	Pelitardo
pena	pena
pergunta	pergunta
permanecer	permanecer
Pernambteco	Pernambteco
perseguir	perseguir
perturbação	perturbacao
peruo	peruar
pessoa	pessoa
Pha^m-ceudco	Pham-Ceudco
Pharmaceutico	Pharmaceutico
PHARMACEUTICO	Pharmaceutico
PHARMACIA	Pharmacia
Phparmaceutico	Phparmaceutico
Pihdas	Pihdas
PIihrmncculico	Piihrmncculico
pisasse	pisar
plebiscitaria	plebiscitar
plebiscitos	plebiscito
Podeis	Podeis
policia	policia
polícia	policia
policial	policial
Politica	Politica
politica	politica
políticos	politico
POLÍTICO	Politico
Pompêo	Pompeo
ponto	ponto
porções	porcao
Portaria	Portaria
Ppharmaceutico	Ppharmaceutico
praça)	praca
prazer	prazer
precisaria	precisar
precisando	precisar
preço	preco
predomina	predominar
prego	prego
prêmio	premio
PREPARADAS	Preparadas
preparado	preparar
preparando	preparar
presenciado	presenciar
presente	presente
presidente	presidente
preso	preso
prestando	prestar
pretender	pretender
prevalecer	prevalecer
prisào	prisao
prisão	prisao
Prisão	Prisao
procedido	proceder
procedem	proceder
processo	processo
procura	procura
procurar	procurar
produzindo	produzir
produsir	produzir
professamos	professar
profissional	profissional
profundo	profundo
promotor	promotor
prompto	pronto
Propriedade	Propriedade
prova	prova
provas	prova
província	provincia
Provincial	Provincial
«Pt-lula^	Pt-Lula
Ptsrc	Ptsrc
publicações	publicacao
publicação	publicacao
publica	publicar
pula	pular
punido	punir
Pur-gativaSi	Pur-Gativasi
PURGATIVAÍ	Purgativai
Purgativas»	Purgativas
Purgativas	Purgativas
quadra	quadra
quartas	quarta
queira	queira
Queira	Queira
Queremos	Queremos
Quero	Quero
quites	quitar
QuixaJá	Quixaja
ramo	ramo
rápido	rapido
Ratas	Ratas
Rbdempção	Rbdempcao
recado	recado
receber	receber
receberam	receber
reconhecimento	reconhecimento
recorremos	recorrer
Redcm-pçâo	Redcm-Pcao
Redcmpção	Redcmpcao
Redemp-çào	Redemp-Cao
Redompção	Redompcao
reduzindo	reduzir
referido	referido
Refirò-me	Refiro-Me
Reforma	Reforma
região	regiao
regressar	regressar
réis	rei
reis	rei
Reluiorío	Reluiorio
remédio	remedio
remedios	remedio
remedio	remedio
Rendas	Rendas
Rendimento	Rendimento
Repellida	Repellida
reproduz	reproduzir
Republca	Republca
republica	republica
residência	residencia
Residindo	Residindo
resistência	resistencia
restabelecido	restabelecer
restantes	restante
resto	resto
resultados	resultado
resultado	resultado
resultando	resultar
resultar	resultar
(Rio	Rio
Rio	Rio
riscos	risco
Rloy	Rloy
róis	rol
rota	rota
Rou>jtíid	Roujtiid
Rstomacavs	Rstomacavs
RtbtlJtí	Rtbtljti
sabbados	sabado
saber	saber
Sabino	Sabino
S]ácidio	Sacidio
sahido	sair
SALGADO	Salgado
Salgado	Salgado
Sallct	Sallct
Salloa	Salloa
Samtario	Samtario
sangria	sangria
sangue	sangue
Sanitário	Sanitario
Santos	Santos
Scnd	Scnd
Secrc-	Secrc-
secretaria	secretaria
Secretario	Secretario
secretario	secretario
segredos	segredo
segui	seguir
seguros	seguro
selo	selo
semelhante	semelhante
senhora	senhora
sentado	sentar
sentidos	sentido
sentia	sentir
sentindo	sentir
séquito	sequito
serão	serao
—Seria	Seria
serviço	servico
serviços	servico
servis	servir
servir	servir
setembro	setembro
signatário	signatario
Simdo	Simdo
simples	simples
sinistra	sinistra
Si7va	Siva
Snnilariu	Snnilariu
soas	soar
sobreTudò	sobretudo
social	social
Sofirendo	Sofirendo
—Sofrendo	Sofrendo
sofria	sofrer
sofrido	sofrer
sofrimentos	sofrimento
Sojto»c	Sojtoc
Sólidos	Solidos
solto	soltar
subir	subir
subindo	subir
subscrever	subscrever
subscripção	subscricao
subsistir	subsistir
substancio^»	substanciar
substitua	substituir
substituir	substituir
Substituto	Substituto
successo	sucesso
suicida	suicida
suicídio	suicidio
Suicídio	Suicidio
sul	sul
summario	sumario
supposto	suposto
Supremo	Supremo
suscitado	suscitado
Suscitar	Suscitar
suspeitas	suspeita
tamo	tamo
tarde	tarde
tarefa	tarefa
TAVORA	Tavora
taxa	taxa
telegraphada	telegrafada
tempo	tempo
tempos	tempo
Tendo	Tendo
Tendo-se	Tendo-Se
(Tenente	Tenente
teria	teria
Terla	Terla
termo	termo
termôs	termo
terrível	terrivel
testemunha	testemunha
testemunho	testemunho
THBODORICO	Thbodorico
tiça	ticar
tílias	tilia
tinha	tinha
tio	tio
tirada	tirada
TntrtnaigtQte’*	Tntrtnaigtqte
Tomando	Tomando
tomei	tomar
tomasse	tomar
tomado	tomar
tomava	tomar
tomando	tomar
TondO	Tondo
Torrei	Torrei
Torres	Torres
Tosus	Tosus
‘Tou^ijLçgo	Touijlcgo
Traga	Traga
Tranle	Tranle
transporte	transporte
tratamento	tratamento
tratei	tratar
tratar	tratar
tratando	tratar
trato	trato
t^ria	triar
Tribunal	Tribunal
troyanos	troianos
tronco	tronco
tuna	tuna
ultima	ultimar
ultimo	ultimo
unidade	unidade
Unitário	Unitario
UNITÁRIO	Unitario
untes	untar
urgência	urgencia
Urti	Urti
usar	usar
UX1TARIQ	Uxtariq
Uzando	Uzando
valia	valia
valor	valor
vantagem	vantagem
Vapores	Vapores
veias	veia
velha	velha
vendem	vendar
Venho	Venho
ventre	ventre
verdade	verdade
verdadeiro	verdadeiro
vestigios	vestigio
Veua	Veua
vez	vez
vezos	vezo
VFNANCÍO	Vfnancio
VifOll*	Vifoll
vinha	vinha
vinho	vinho
virtude	virtude
vista	vista
visto	visto
victima	vitima
vivia	viver
volta	voltar
voltas	voltar
voluntário	voluntario
vontade	vontade
voto	voto
Xinhas	Xinhas
XLOI-JH	Xloi-Jh
Zelo	Zelo
