abraços	abraco
devera	dever
deveis	dever
devolucção	devolucao
diligencias	diligencia
diminuição	diminuicao
dinheiro	dinheiro
direito	direito
discado	discar
dizer	dizer
disse	dizer
digo	dizer
Dizer-se	Dizer-Se
Domcado	Domcado
dono	dono
dorme	dormir
Dumas	Dumas
duvidas	duvida
duvidando	duvidar
EDITORES	Editores
Efoy	Efoy
Eil-a	Eil-A
EÍrnilian	Eirnilian
(eleição)	eleicao
elemento	elemento
elementos	elemento
elfo	elfo
ELOY	Eloy
Emado	Emado
Emdjano	Emdjano
Emi-liatio	Emi-Liatio
Emi-lihdorhandar	Emi-Lihdorhandar
Emiliano	Emiliano
Emiltano	Emiltano
empenho	empenho
empregados	empregado
Emtlia-	Emtlia-
encarecer	encarecer
encontrado	encontrar
encontraram	encontrar
encontro	encontro
enforcado	enforcar
entender	entender
entregará	entregar
envenenado	envenenar
enxerga	enxerga
era	era
escanchado	escanchar
escolhido	escolher
esforços	esforco
esperamos	esperar
espirito	espirito
estabelecer	estabelecer
Estado	Estado
Estado’	Estado
estiver	estar
estou	estar
evidencia	evidencia
exame	exame
exacto	exato
execução	execucao
executarem	executar
exercicio	exercicio
exercício	exercicio
exigido	exigir
exima	eximir
existência	existencia
ExZè-só	Exze-So
faculdade	faculdade
Facundo—66	Facundo
fado	fado
fallava	falar
falta	falta
família	familia
pharmaceutico	farmaceutico
facto	fato
Fazenda	Fazenda
fazenda	fazenda
fazer	fazer
fizesse	fazer
Federal	Federal
feira	feira
Felizardo	Felizardo
FERNANDES	Fernandes
Ferro	Ferro
FERRO	Ferro
fiara	fiar
fiar	fiar
ficarmos	ficar
ficaria	ficar
filhado	filhar
filho	filho
•filho	filho
fins	fim
firma	firma
fluçtuava	flutuar
força	forca
formação	formacao
Formosa	Formosa
fosse	fossar
fóssil	fossil
França	Franca
Francisco	Francisco
fraternidade	fraternidade
Fstadoai	Fstadoai
fundo	fundar
Fvrtulezu	Fvrtulezu
genero	genero
gente	gente
governo	governo
Graciàs	Gracias
gratificação	gratificacao
Gratificação	Gratificacao
gratificações	gratificacao
gravai»	gravar
gravidade	gravidade
gregos	grego
Gué-	Gue-
Guégué	Guegue
Hade	Hade
hesitação	hesitacao
Hlolas	Hlolas
homens	homem
Homens	Homens
homicídio	homicidio
homicídio*^	homicidio
Hygicoa	Hygicoa
Hygiuoo	Hygiuoo
Içgál	Icgal
Império	Imperio
importaria	importar
impossibilidade	impossibilidade
imprensa	imprensa
indicio	indicio
indicio»	indicio
indivíduo	individuo
indivíduos	individuo
infortúnio	infortunio
inicial	inicial
inquérito	inquerito
Inspecloria	Inspecloria
Inspu-clorh	Inspu-Clorh
instauração	instauracao
instaurado	instaurar
Instituto	Instituto
Int-trucçôei	Int-Truccoei
intelligencia	inteligencia
intenteis	intentar
intento	intento
interesses	interesse
intima	intimar
Intransigente	Intransigente
intuito	intuito
Inulitufo	Inulitufo
Ipudo	Ipudo
ires	irar
isenção	isencao
janeiro	janeiro
Janeiro)	Janeiro
Janeiro	Janeiro
Jkvolvem	Jkvolvem
JNão	Jnao
Joaé	Joae
JojZ	Jojz
Jo‘pcln	Jopcln
JORNAL	Jornal
jornal	jornal
JOSÉ	Jose
Jubó	Jubo
juizes	juiz
Juiz	Juiz
julgar	julgar
júnho	junho
junho	junho
Justiça	Justica
justiça	justica
Kecommendo	Kecommendo
Kmiliano	Kmiliano
laço	laco
lado	lado
lando	lando
lato	latir
laudo	laudo
Layão	Layao
lei	lei
Lei	Lei
linha	linha
locução	locucao
lógica	logica
louco	louco
Lucros	Lucros
luta	luta
luz	luz
Major	Major
manda	manda
mandadas	mandada
Mandos	Mandos
Manoel	Manoel
mão	mao
mãos	mao
março	marco
marinheiro	marinheiro
Martiniano	Martiniano
massas	massa
mata	mata
máxima	maxima
medicamento	medicamento
medico	medico
medida	medida
Mello	Mello
membro	membro
menção	mencao
mentira	mentira
mentiroso	mentiroso
metade	metade
militarismo	militarismo
moléstias	molestia
Monte	Monte
moral	moral
morrer	morrer
morte	morte
morto	morto
mossa	mossa
mostre	mostrar
movimentos	movimento
Mqjece	Mqjece
multidão	multidao
multidões	multidao
mutilado	mutilado
nação	nacao
nomes	nome
norte	norte
novidade	novidade
nume	nume
numero	numero
obriga	obriga
obrigado	obrigar
OFFÍCIAES	Officiaes
olhos	olho
OOOSOoO	Ooosooo
opinando	opinar
opinião	opiniao
Opiniões	Opinioes
Ordehado	Ordehado
ordem	ordem
Ordenado	Ordenado
Orfando	Orfando
originaes	originais
Osbnotivos	Osbnotivos
ouvido	ouvido
Pacato	Pacato
Pacatuba	Pacatuba
padecer	padecer
pagar	pagar
pai	pai
paióis	paiol
paiz	pais
Palacio	Palacio
Palacío	Palacio
palavras	palavra
parecer	parecer
parece	parecer
partidos	partido
PARTIDOS-	Partidos-
passou	passar
passasse	passar
passando	passar
patrulhas	patrulha
peça	peca
PEÇAS	Pecas
pedindo	pedir
Pedro	Pedro
Pelitardo	Pelitardo
pena	pena
pergunta	pergunta
permanecer	permanecer
Pernambteco	Pernambteco
perturbação	perturbacao
peruo	peruar
pessoa	pessoa
Pharmaceutico	Pharmaceutico
PHARMACIA	Pharmacia
PIihrmncculico	Piihrmncculico
pisasse	pisar
plebiscitaria	plebiscitar
plebiscitos	plebiscito
Podeis	Podeis
policia	policia
polícia	policia
policial	policial
Politica	Politica
politica	politica
políticos	politico
POLÍTICO	Politico
Pompêo	Pompeo
Portaria	Portaria
precisaria	precisar
precisando	precisar
prêmio	premio
presenciado	presenciar
presente	presente
presidente	presidente
preso	preso
pretender	pretender
prevalecer	prevalecer
prisào	prisao
prisão	prisao
Prisão	Prisao
procedido	proceder
procedem	proceder
processo	processo
procura	procura
produsir	produzir
professamos	professar
profissional	profissional
promotor	promotor
Propriedade	Propriedade
prova	prova
provas	prova
província	provincia
Provincial	Provincial
Ptsrc	Ptsrc
publicações	publicacao
publicação	publicacao
publica	publicar
punido	punir
quadra	quadra
quartas	quarta
Queremos	Queremos
ramo	ramo
Ratas	Ratas
Rbdempção	Rbdempcao
recado	recado
receberam	receber
Redcm-pçâo	Redcm-Pcao
Redcmpção	Redcmpcao
Redemp-çào	Redemp-Cao
Redompção	Redompcao
reduzindo	reduzir
Reforma	Reforma
réis	rei
Reluiorío	Reluiorio
Rendas	Rendas
Rendimento	Rendimento
Repellida	Repellida
reproduz	reproduzir
Republca	Republca
republica	republica
residência	residencia
resistência	resistencia
restantes	restante
resto	resto
resultar	resultar
(Rio	Rio
Rio	Rio
riscos	risco
Rloy	Rloy
róis	rol
rota	rota
Rou>jtíid	Roujtiid
RtbtlJtí	Rtbtljti
sabbados	sabado
Sabino	Sabino
S]ácidio	Sacidio
sahido	sair
Sallct	Sallct
Salloa	Salloa
sangria	sangria
sangue	sangue
Sanitário	Sanitario
Scnd	Scnd
Secrc-	Secrc-
secretaria	secretaria
Secretario	Secretario
secretario	secretario
segredos	segredo
segui	seguir
seguros	seguro
selo	selo
semelhante	semelhante
sentado	sentar
sentidos	sentido
séquito	sequito
serão	serao
serviço	servico
servis	servir
servir	servir
setembro	setembro
signatário	signatario
simples	simples
Snnilariu	Snnilariu
soas	soar
sobreTudò	sobretudo
social	social
Sofirendo	Sofirendo
Sojto»c	Sojtoc
Sólidos	Solidos
solto	soltar
subir	subir
subindo	subir
subscrever	subscrever
subscripção	subscricao
subsistir	subsistir
substancio^»	substanciar
substitua	substituir
substituir	substituir
Substituto	Substituto
suicida	suicida
suicídio	suicidio
Suicídio	Suicidio
sul	sul
summario	sumario
supposto	suposto
Supremo	Supremo
suscitado	suscitado
Suscitar	Suscitar
suspeitas	suspeita
tamo	tamo
tarefa	tarefa
TAVORA	Tavora
taxa	taxa
telegraphada	telegrafada
tempo	tempo
tempos	tempo
Tendo	Tendo
Tendo-se	Tendo-Se
teria	teria
Terla	Terla
termo	termo
termôs	termo
testemunha	testemunha
THBODORICO	Thbodorico
tiça	ticar
tinha	tinha
tio	tio
tirada	tirada
TntrtnaigtQte’*	Tntrtnaigtqte
tomava	tomar
Torrei	Torrei
Torres	Torres
Tosus	Tosus
‘Tou^ijLçgo	Touijlcgo
Traga	Traga
Tranle	Tranle
transporte	transporte
tratar	tratar
tratando	tratar
t^ria	triar
Tribunal	Tribunal
troyanos	troianos
tronco	tronco
tuna	tuna
ultima	ultimar
ultimo	ultimo
unidade	unidade
Unitário	Unitario
UNITÁRIO	Unitario
untes	untar
urgência	urgencia
Urti	Urti
usar	usar
Uzando	Uzando
valia	valia
valor	valor
Vapores	Vapores
veias	veia
velha	velha
vendem	vendar
verdade	verdade
verdadeiro	verdadeiro
vestigios	vestigio
vezos	vezo
VifOll*	Vifoll
vinha	vinha
vinho	vinho
virtude	virtude
vista	vista
visto	visto
victima	vitima
volta	voltar
voltas	voltar
voluntário	voluntario
vontade	vontade
Zelo	Zelo
